기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20241,A,골목상권,3110095,한강진역 3번,441861,202595,239266,38033,80608,111278,93388,55538,63018,95687,86764,61840,68467,80885,48217,60689,62949,66349,64577,64841,63200,59253
20241,A,골목상권,3110096,한남힐사이드아파트,237999,111525,126475,30310,39093,57850,49367,29948,31431,35244,47356,35928,42887,51862,24722,31875,31778,36454,32751,34918,36256,33966
20241,A,골목상권,3110097,한남초등학교,64997,30919,34077,6544,9380,14352,13443,10462,10815,9974,14637,11462,10263,12270,6392,9434,9737,9904,9677,9589,8520,8137
20241,A,골목상권,3110098,서울독일학교,94389,43557,50832,9682,12390,20593,20167,15444,16115,16334,20833,15496,14291,17477,9956,13609,13966,14289,13962,13851,12612,12099
20241,A,골목상권,3110099,유엔빌리지길,241286,113341,127945,27674,25758,45019,49402,40184,53249,50270,52348,31594,34522,44435,28117,33857,33550,34614,33820,34502,36407,34533
20241,A,골목상권,3110100,옥수동우편취급국,136498,60562,75936,27657,11413,25410,23322,17990,30708,39775,29704,14143,13461,20825,18590,20233,19781,20055,19790,19156,18585,18898
20241,A,골목상권,3110101,옥정중학교,127831,55769,72062,24167,10102,21334,23343,17698,31187,25804,25503,18208,19161,25608,13548,18222,17645,18151,17886,17800,18948,19178
20241,A,골목상권,3110102,옥수역 6번,460733,203368,257364,79540,49802,76569,79822,65204,109798,68523,93311,70073,78306,103983,46539,65431,64478,66743,66235,66773,68577,62497
20241,A,골목상권,3110103,옥수터널,334218,147975,186243,45589,34742,66034,61785,47971,78098,87527,70854,37623,38066,55671,44477,47731,47042,46937,46722,46807,48883,50097
20241,A,골목상권,3110104,신금호역 4번,1210966,542153,668812,179330,128640,196315,213522,183040,310119,377796,256553,119340,112963,175317,168998,174006,172977,170008,172483,170658,174350,176485
20241,A,골목상권,3110105,금동어린이공원,837038,385896,451143,132896,89091,132536,141306,135365,205844,220686,168404,91550,95680,148089,112629,118858,116127,117302,116104,117193,125135,126319
20241,A,골목상권,3110106,금북초등학교,191984,88102,103882,29608,15709,28945,38702,32173,46848,51011,40434,20860,20891,32884,25906,27481,27090,26837,26602,26184,28060,29728
20241,A,골목상권,3110107,금호사거리,69262,32497,36765,10195,5673,11447,13309,11013,17623,12562,13969,9439,10534,14542,8216,9581,9392,9454,9519,9602,10773,10943
20241,A,골목상권,3110108,성동구립금호도서관,101339,45480,55859,15638,8480,17807,19290,14513,25611,24968,20579,11355,12493,18574,13372,14161,13918,14044,13886,13887,15534,15908
20241,A,골목상권,3110109,금호삼성래미안아파트,371115,163331,207785,76261,30611,57833,76701,55674,74034,74159,74387,50068,53616,75040,43845,52313,52153,51576,52021,51386,55610,56057
20241,A,골목상권,3110110,상왕십리역 6번,1052239,454011,598228,132357,181434,220579,163054,140953,213862,277470,219162,119551,129377,185523,121156,142807,142268,139612,139932,139768,168131,179720
20241,A,골목상권,3110111,대현산장미원,536935,228280,308655,76318,59658,87492,102368,79239,131861,188635,112819,44049,40434,70576,80423,77599,75864,74223,74875,74598,78189,81587
20241,A,골목상권,3110112,행당역 2번,764951,351897,413054,136798,117752,117173,115566,119422,158240,210327,161961,86973,83012,120730,101948,109922,108349,109392,109130,107485,109549,111124
20241,A,골목상권,3110113,응봉산,165520,76019,89501,33518,16778,20844,27542,27739,39097,40859,36808,20932,20278,26766,19877,23438,23398,22938,23684,22964,24080,25018
20241,A,골목상권,3110114,왕십리파출소,362171,166830,195342,45857,50956,50728,61094,68449,85088,76690,72999,48662,49855,69603,44363,51551,51968,52076,50788,51640,51839,52311
20241,A,골목상권,3110115,상왕십리역 3번,755331,342604,412728,91501,140291,137245,110217,122218,153858,169682,154101,99671,102229,140256,89393,106273,108551,108590,107224,107268,109659,107765
20241,A,골목상권,3110116,청계천박물관,586844,305168,281675,67692,69246,84726,99623,112716,152840,152425,135751,75419,71848,84324,67077,84729,86484,86209,86172,84280,79689,79282
20241,A,골목상권,3110117,성동구보건소,447856,215104,232753,45531,64652,72952,65318,85802,113602,112155,100406,56944,53582,71779,52991,63102,63663,63772,63846,63382,64590,65501
20241,A,골목상권,3110118,왕십리역 9번,1403682,666665,737017,212955,260089,232850,244189,214101,239500,339181,287170,178776,180638,244862,173056,199538,205132,203586,205509,202067,196024,191828
20241,A,골목상권,3110119,마장지하차도,159871,77543,82328,18147,28042,25989,25997,26416,35280,30338,33572,23028,24338,31440,17152,22440,22617,23015,22893,22618,23580,22707
20241,A,골목상권,3110120,서울숲카페거리,451517,204474,247044,40049,104896,105806,73001,60570,67196,91647,82756,71939,78668,83351,43156,61330,63057,65878,63283,64939,68218,64814
20241,A,골목상권,3110121,한양대역 4번,210796,110281,100516,31472,76658,29432,25170,23139,24928,60799,46453,24045,22786,30188,26524,30877,31620,31547,31667,30464,27788,26833
20241,A,골목상권,3110122,마장역 2번,317223,154886,162337,47092,37718,52964,55723,51988,71738,65227,67440,44280,44348,59389,36539,44526,44338,45392,45299,44662,46810,46197
20241,A,골목상권,3110123,마장역 3번,871480,418960,452521,109180,156710,124449,129016,136947,215179,221244,188322,108496,104625,140747,108047,123771,125379,124963,125512,125203,123382,123270
20241,A,골목상권,3110124,뚝섬역교차로,228614,116713,111903,23764,41647,50126,40458,32630,39992,37272,48560,36833,37994,45251,22703,33453,34273,34622,33848,33120,29991,29308
20241,A,골목상권,3110125,사근동살곶이상점가,905698,444664,461035,137558,383565,90114,80394,79753,134313,281695,204132,100203,89611,115986,114071,130164,132312,130297,132787,126119,124906,129112
20241,A,골목상권,3110126,서울숲역 1번,286944,136513,150430,23261,71614,78484,47327,32468,33789,35978,52737,54296,58650,60504,24777,41656,43853,46318,43719,43201,35527,32669
20241,A,골목상권,3110127,성수1가1동주민센터,158303,79286,79018,25541,29462,37571,26313,18048,21366,33352,34760,24200,24040,25888,16061,23309,24224,24039,23898,22861,19833,20139
20241,A,골목상권,3110128,성원중학교,1329079,664379,664700,139727,187751,241691,194774,240492,324645,362373,276008,157918,158337,209466,164980,190045,189854,190184,190893,189182,188620,190300
20241,A,골목상권,3110129,성원어린이공원,181343,91813,89530,18634,29906,40578,33738,27107,31379,48258,38429,24498,24092,26276,19793,27534,28292,28568,28031,26695,21517,20708
20241,A,골목상권,3110130,답십리역 6번,590679,283370,307310,53015,119970,101792,88460,90333,137108,152020,123835,69386,70106,99030,76302,83123,82505,83706,83641,83036,85956,88713
20241,A,골목상권,3110131,성수동카페거리,820123,416065,404059,75294,217245,205549,137080,97989,86967,105149,157036,157330,170063,164677,65870,123565,130568,135339,129883,126553,93042,81171
20241,A,골목상권,3110132,성수2가3동주민센터,578194,295197,282997,43523,110062,139025,105113,85141,95329,142606,123778,82180,80955,85491,63185,87186,89622,90276,88069,84577,69271,69194
20241,A,골목상권,3110133,서울교통공사,398891,206366,192525,26048,78298,70907,59462,73434,90741,106203,87353,49002,47662,59159,49513,56756,58403,59104,58023,57169,54211,55224
20241,A,골목상권,3110134,성수119안전센터,1622484,838313,784171,181429,215843,297869,257726,298627,370988,393360,343798,196238,202199,278713,208178,231257,229735,232009,229715,229424,235597,234747
20241,A,골목상권,3110135,성동세무서,280966,151690,129276,17525,56055,63343,52265,45479,46296,49000,64375,48665,46289,46043,26594,42603,44858,46163,44393,41478,31033,30437
20241,A,골목상권,3110136,경수초등학교,1138973,573502,565471,112411,223561,235471,189294,180032,198201,226657,232092,173058,181550,204479,121137,167167,168957,173519,169288,166519,149735,143787
20241,A,골목상권,3110137,성수초등학교,1493217,759672,733544,115529,327709,326833,277427,227151,218570,289650,345091,246767,241908,231056,138745,227954,242613,246606,238993,223914,160883,152255
20241,A,골목상권,3110138,송정체육공원,986375,490139,496237,89165,220724,184309,160345,136253,195579,259505,215839,117885,115440,152351,125356,141903,144201,142786,143593,139291,136511,138089
20241,A,골목상권,3110139,자양4동주민센터,2105307,1012168,1093140,248578,308527,362173,325510,334486,526035,589031,440271,217530,219689,353754,285032,303618,302258,304499,301444,298602,298269,296619
20241,A,골목상권,3110140,건대입구역 6번,2725868,1252740,1473129,268813,572906,458148,397965,434374,593661,722417,552001,303245,309790,478156,360259,384794,375086,377924,378926,382389,409763,416985
20241,A,골목상권,3110141,건대입구역 1번,1801511,865932,935578,191547,752167,309541,203246,150727,194284,475733,335051,187581,201328,340398,261421,247483,246669,250780,254045,260136,279919,262481
20241,A,골목상권,3110142,화양사거리,1971411,925461,1045950,157943,804914,362883,219509,188253,237909,588706,428957,211013,197298,284778,260659,282655,283929,280772,283902,273635,277024,289493
20241,A,골목상권,3110143,뚝섬유원지역 1번,184286,87081,97204,36713,22673,27387,30646,27814,39055,46021,36422,21275,23107,33232,24229,26262,25392,25947,25343,25439,27578,28328
20241,A,골목상권,3110144,어린이대공원역 4번,388385,178404,209982,29262,188922,69160,36068,30982,33992,117993,82986,39686,37349,58969,51404,54737,55184,55458,55733,54482,55818,56972
20241,A,골목상권,3110145,장안초등학교,226986,109860,117126,34158,84355,36686,26146,19579,26061,71672,51386,27671,24776,25309,26170,32478,34852,33992,35088,31976,29139,29461
20241,A,골목상권,3110146,신자초등학교,1423670,666256,757415,279856,167361,223960,235864,213688,302941,425462,283140,148030,147568,225052,194418,204833,200369,201470,199939,200080,207164,209814
20241,A,골목상권,3110147,능동우편취급국,993776,498913,494863,111036,250887,176126,140434,126758,188536,290311,212548,107098,101616,148084,134119,141921,141913,140559,141814,138519,142109,146939
20241,A,골목상권,3110148,어린이대공원역 3번,629802,301434,328368,67047,255744,106607,69963,58167,72275,165992,129675,76990,73635,100157,83351,90196,90281,92158,91509,87754,87927,89978
20241,A,골목상권,3110149,세종대학교,213587,105523,108066,21665,58945,43258,30824,26868,32028,60108,45897,25896,24924,30102,26660,30803,31806,31419,31622,29991,28396,29548
