기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수
20241,A,골목상권,3110078,이촌동점보아파트,608,389,219,1,99,164,170,125,49,1,49,101,120,84,34,0,50,63,50,41,15
20241,A,골목상권,3110079,후암동주민센터,1044,619,425,0,151,235,301,247,110,0,48,139,198,144,90,0,103,96,103,103,20
20241,A,골목상권,3110080,해방촌예술마을,222,145,77,0,26,44,73,62,17,0,9,26,53,43,14,0,17,18,20,19,3
20241,A,골목상권,3110081,해방촌 남동측,234,175,59,0,1,40,98,94,1,0,0,21,78,75,1,0,1,19,20,19,0
20241,A,골목상권,3110082,용산구청,5140,2262,2878,0,1512,1968,1008,496,156,0,398,822,558,358,126,0,1114,1146,450,138,30
20241,A,골목상권,3110083,서빙고역 1번,3456,2266,1190,0,616,1029,1067,548,196,0,297,601,779,436,153,0,319,428,288,112,43
20241,A,골목상권,3110084,경리단길북측,360,205,155,0,52,128,104,52,24,0,24,71,56,30,24,0,28,57,48,22,0
20241,A,골목상권,3110085,경리단길남측,361,202,159,0,57,131,102,47,24,0,25,70,55,28,24,0,32,61,47,19,0
20241,A,골목상권,3110086,이태원역 북측,307,164,143,0,77,108,70,41,11,0,25,53,44,32,10,0,52,55,26,9,1
20241,A,골목상권,3110087,이태원엔틱가구거리,820,363,457,0,243,315,160,78,24,0,64,133,88,58,20,0,179,182,72,20,4
20241,A,골목상권,3110088,오산고등학교,1315,862,453,0,232,391,408,211,73,0,110,229,297,167,59,0,122,162,111,44,14
20241,A,골목상권,3110089,서빙고동주민센터,1671,1100,571,0,296,499,515,267,94,0,143,292,377,213,75,0,153,207,138,54,19
20241,A,골목상권,3110090,한국폴리텍대학서울정수캠퍼스,997,648,349,0,172,290,311,165,59,0,80,168,223,130,47,0,92,122,88,35,12
20241,A,골목상권,3110091,리움미술관,908,669,239,0,151,268,240,209,40,0,73,180,194,188,34,0,78,88,46,21,6
20241,A,골목상권,3110092,NH농협은행 보광동지점,125,66,59,0,13,27,37,34,14,0,0,13,20,20,13,0,13,14,17,14,1
20241,A,골목상권,3110093,우사단길,5478,3978,1500,4,915,1633,1437,1249,240,4,425,1076,1157,1119,197,0,490,557,280,130,43
20241,A,골목상권,3110094,오산중학교,27,14,13,0,3,6,8,7,3,0,0,3,4,4,3,0,3,3,4,3,0
20241,A,골목상권,3110095,한강진역 3번,2799,2056,743,1,461,832,737,643,125,1,220,556,598,579,102,0,241,276,139,64,23
20241,A,골목상권,3110096,한남힐사이드아파트,985,720,265,0,163,292,259,228,43,0,77,194,210,204,35,0,86,98,49,24,8
20241,A,골목상권,3110097,한남초등학교,263,193,70,0,44,77,70,60,12,0,21,52,56,54,10,0,23,25,14,6,2
20241,A,골목상권,3110098,서울독일학교,1343,984,359,0,222,400,354,308,59,0,106,267,286,277,48,0,116,133,68,31,11
20241,A,골목상권,3110099,유엔빌리지길,1612,1180,432,1,267,479,424,371,70,1,125,319,344,333,58,0,142,160,80,38,12
20241,A,골목상권,3110100,옥수동우편취급국,450,175,275,0,116,133,102,68,31,0,30,49,48,32,16,0,86,84,54,36,15
20241,A,골목상권,3110101,옥정중학교,1830,711,1119,0,469,542,414,276,129,0,120,201,194,130,66,0,349,341,220,146,63
20241,A,골목상권,3110102,옥수역 6번,2049,796,1253,0,526,606,462,311,144,0,135,224,216,147,74,0,391,382,246,164,70
20241,A,골목상권,3110103,옥수터널,245,96,149,0,61,72,56,38,18,0,15,27,26,18,10,0,46,45,30,20,8
20241,A,골목상권,3110104,신금호역 4번,66,38,28,0,6,11,16,16,17,0,0,4,8,10,16,0,6,7,8,6,1
20241,A,골목상권,3110105,금동어린이공원,31,18,13,0,3,3,8,7,10,0,0,0,4,4,10,0,3,3,4,3,0
20241,A,골목상권,3110106,금북초등학교,177,62,115,0,21,58,73,21,4,0,5,19,28,7,3,0,16,39,45,14,1
20241,A,골목상권,3110107,금호사거리,115,70,45,0,15,26,33,27,14,0,6,13,22,17,12,0,9,13,11,10,2
20241,A,골목상권,3110108,성동구립금호도서관,181,67,114,1,21,59,74,22,4,0,6,20,29,9,3,1,15,39,45,13,1
20241,A,골목상권,3110109,금호삼성래미안아파트,972,357,615,5,114,321,395,112,25,0,34,106,155,44,18,5,80,215,240,68,7
20241,A,골목상권,3110110,상왕십리역 6번,264,162,102,0,32,69,78,61,24,0,16,37,48,39,22,0,16,32,30,22,2
20241,A,골목상권,3110111,대현산장미원,54,24,30,0,14,14,11,10,5,0,4,5,5,5,5,0,10,9,6,5,0
20241,A,골목상권,3110112,행당역 2번,93,64,29,0,10,21,25,27,10,0,5,13,17,20,9,0,5,8,8,7,1
20241,A,골목상권,3110113,응봉산,365,153,212,0,87,96,78,66,38,0,22,35,35,33,28,0,65,61,43,33,10
20241,A,골목상권,3110114,왕십리파출소,172,79,93,0,28,33,38,41,32,0,9,19,21,17,13,0,19,14,17,24,19
20241,A,골목상권,3110115,상왕십리역 3번,666,305,361,0,112,128,140,163,123,0,38,70,77,67,53,0,74,58,63,96,70
20241,A,골목상권,3110116,청계천박물관,1183,841,342,0,93,209,272,394,215,0,55,147,197,278,164,0,38,62,75,116,51
20241,A,골목상권,3110117,성동구보건소,354,250,104,0,28,61,82,120,63,0,17,42,58,85,48,0,11,19,24,35,15
20241,A,골목상권,3110118,왕십리역 9번,279,193,86,0,34,59,73,81,32,0,17,37,51,62,26,0,17,22,22,19,6
