기준_년분기_코드,계절,상권_구분_코드_명,상권_코드_명,매출_금액,주중_매출_금액,주말_매출_금액,남성_매출_금액,여성_매출_금액,출근_매출_금액,점심_매출_금액,퇴근_매출_금액,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,출근_유동인구_수,점심_유동인구_수,퇴근_유동인구_수,주중_유동인구_수,주말_유동인구_수,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수
20243,가을,발달상권,응암역,12330634808.0,10080988910.0,2249645898.0,4247024102.0,5663705722.0,1630481403.0,6606658419.0,4093494986.0,799871,351198,448673,320615,216122,263133,554299,245572,365,194,171
20243,가을,전통시장,응암시장(신응암시장),1027605867.0,762967888.0,264637979.0,554072537.0,422123701.0,86423335.0,375631637.0,565550895.0,39756,18318,21436,17741,9696,12317,27602,12155,64,42,22
20243,가을,골목상권,능동우편취급국,7729741456.0,6458577318.0,1271164138.0,5658954306.0,1297642054.0,537095836.0,5161622341.0,2031023279.0,938274,468691,469582,478401,194889,264983,664344,273929,103,59,44
20243,가을,전통시장,능동로골목시장,2244255911.0,1488578058.0,755677853.0,1151477920.0,928325814.0,115410244.0,907056218.0,1221789449.0,234000,113759,120241,97790,61019,75191,164005,69997,16,14,2
20243,가을,골목상권,누원고등학교,744915379.0,544046103.0,200869276.0,336299289.0,373391548.0,94573466.0,345421206.0,304920707.0,83649,38633,45016,33171,23212,27266,58494,25155,139,88,51
20243,가을,골목상권,논현초등학교,5388047160.0,4420151487.0,967895673.0,1810025767.0,3092736763.0,761679706.0,2033130583.0,2593236871.0,2470088,1148243,1321844,1161888,637390,670810,1804373,665713,1354,799,555
20243,가을,골목상권,언주역 6번,532780592.0,437910862.0,94869730.0,239560320.0,256580954.0,128212402.0,205167349.0,199400841.0,919915,451136,468779,402469,280599,236846,697113,222802,803,478,325
20243,가을,골목상권,언주역 3번,4107877571.0,3556341558.0,551536013.0,1754201036.0,893597372.0,507343346.0,2124402796.0,1476131429.0,1447723,721373,726348,685938,383334,378450,1094546,353178,1501,962,539
20243,가을,골목상권,언북초등학교,1219269774.0,888538797.0,330730977.0,453079665.0,476920278.0,38731396.0,570693561.0,609844817.0,637780,288387,349393,283256,183179,171345,464187,173594,860,489,371
20243,가을,발달상권,역삼역,152262798608.0,133444027002.0,18818771606.0,65582586778.0,52995571988.0,23211289149.0,78626750137.0,50424759322.0,4833368,2640972,2192396,1658317,1935793,1239260,4047441,785926,65824,38977,26847
20243,가을,골목상권,이대역 5번,3319205964.0,2509820238.0,809385726.0,1638232004.0,1651930092.0,660291714.0,1322233647.0,1336680603.0,437750,181226,256523,222488,92668,122594,310864,126885,282,163,119
20243,가을,골목상권,경수초등학교,12801630500.0,9532080467.0,3269550033.0,4441103051.0,6623369788.0,796459819.0,7588471352.0,4416699329.0,915430,459708,455721,359935,292291,263206,681776,233653,4708,3013,1695
20243,가을,골목상권,경성고등학교,8535161088.0,6477746109.0,2057414979.0,3740133693.0,3044561296.0,1572499610.0,3658421945.0,3304239533.0,2920111,1342202,1577909,1449623,654324,816163,2072640,847472,1872,1241,631
20243,가을,전통시장,응암오거리상점가,11010135974.0,7541274928.0,3468861046.0,6309300175.0,4450287535.0,2935627836.0,2949566821.0,5124941317.0,429794,195072,234722,192741,102660,134397,300602,129193,234,113,121
20243,가을,골목상권,응암3동주민센터,4108913397.0,3136745622.0,972167775.0,2137897203.0,1926255882.0,1137084359.0,1909274372.0,1062554666.0,711213,322051,389164,316850,162243,232122,505490,205724,113,53,60
