기준_년분기_코드,상권_구분_코드_명,상권_코드_명,서비스업종,평균매출,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,초년_유동인구_수,중년_유동인구_수,노년_유동인구_수,초년_직장_인구_수,중년_직장_인구_수,노년_직장_인구_수
20241,전통시장,상계주공1단지(가)상가,기타서비스업,71575970.25,10498343.0,16873369.75,12607351.75,8504168.5,13767715.75,5501776.25,3823245.25,17892.0,8070.0,9821.0,92.0,41.0,51.0,4636.0,5439.0,7815.0,13.0,45.0,34.0
20242,전통시장,상계주공1단지(가)상가,기타서비스업,82075702.25,18119544.75,10565470.25,16586669.25,11719042.75,14199660.25,7250542.5,3634772.5,13017.0,5857.0,7160.0,92.0,41.0,51.0,3450.0,3950.0,5618.0,13.0,45.0,34.0
20243,전통시장,상계주공1단지(가)상가,기타서비스업,65028836.25,16207881.75,13749482.0,8497364.0,9361567.25,9664968.75,4905649.25,2641923.25,11183.0,5118.0,6065.0,92.0,41.0,51.0,2853.0,3447.0,4883.0,13.0,45.0,34.0
20244,전통시장,상계주공1단지(가)상가,기타서비스업,73417293.75,11817989.25,19218558.0,11961777.0,7653390.5,11964870.5,7255321.0,3545387.5,11942.0,5435.0,6507.0,45.0,20.0,25.0,3109.0,3697.0,5135.0,7.0,22.0,16.0
20241,전통시장,상계중앙시장,기타서비스업,840260666.6,128875044.8,171358432.2,109401340.0,141608106.4,163084618.4,116707599.6,9225525.2,1183932.0,548109.0,635822.0,165.0,83.0,82.0,290530.0,300465.0,592936.0,6.0,55.0,104.0
20242,전통시장,상계중앙시장,기타서비스업,982212823.75,183080769.25,173140404.75,150931219.75,147707036.25,203435566.5,118660999.75,5256827.5,1034452.0,473651.0,560802.0,165.0,83.0,82.0,247648.0,266917.0,519886.0,6.0,55.0,104.0
20243,전통시장,상계중앙시장,기타서비스업,828016130.0,126726910.75,171059931.0,87757080.0,129099606.75,172442206.0,136760215.75,4170179.75,967814.0,444048.0,523765.0,165.0,83.0,82.0,233582.0,247857.0,486377.0,6.0,55.0,104.0
20244,전통시장,상계중앙시장,기타서비스업,764729985.5,120978068.25,134049724.25,67219013.5,97754637.25,170679302.0,169493466.5,4555773.75,953686.0,437650.0,516037.0,224.0,111.0,113.0,230670.0,245688.0,477328.0,6.0,67.0,151.0
20241,골목상권,상계초등학교,기타서비스업,76377700.5,5727251.0,16008294.0,13055467.5,9729996.0,8890557.0,18582513.0,4383622.0,2303267.0,1053298.0,1249969.0,134.0,63.0,71.0,632222.0,588710.0,1082333.0,14.0,57.0,63.0
20242,골목상권,상계초등학교,기타서비스업,156847977.0,24924097.0,16034703.0,33852765.0,12150554.0,17430387.0,43447238.0,9008233.0,2267083.0,1032319.0,1234765.0,134.0,63.0,71.0,604074.0,584032.0,1078977.0,14.0,57.0,63.0
20243,골목상권,상계초등학교,기타서비스업,153874897.0,23285873.0,21804982.0,15272405.0,24379246.0,16438363.0,44034344.0,8659684.0,2290040.0,1047863.0,1242178.0,134.0,63.0,71.0,617529.0,592831.0,1079680.0,14.0,57.0,63.0
20244,골목상권,상계초등학교,기타서비스업,79470863.0,12072697.0,10726191.0,11779861.0,8140291.5,11347559.0,17609210.5,7795053.0,2280929.0,1042923.0,1238005.0,145.0,70.0,75.0,612444.0,592113.0,1076371.0,12.0,63.0,70.0
20241,골목상권,상도1동주민센터앞,기타서비스업,81779343.0,12529881.666666666,11755616.0,9600651.333333334,9246798.333333334,15377518.666666666,12915186.0,10353691.0,119527.0,55944.0,63582.0,100.0,58.0,42.0,46543.0,28748.0,44237.0,17.0,49.0,34.0
20242,골목상권,상도1동주민센터앞,기타서비스업,69218526.0,8410833.5,12906894.75,7565654.0,10312026.25,12387714.75,11165596.75,6469806.0,128620.0,60905.0,67714.0,100.0,58.0,42.0,55566.0,29101.0,43954.0,17.0,49.0,34.0
20243,골목상권,상도1동주민센터앞,기타서비스업,95815508.33333333,16300319.666666666,14876449.333333334,8851924.333333334,18365122.333333332,11401861.0,16268263.0,9751568.666666666,119228.0,55876.0,63352.0,100.0,58.0,42.0,44905.0,29617.0,44707.0,17.0,49.0,34.0
20244,골목상권,상도1동주민센터앞,기타서비스업,100337344.66666667,19170904.333333332,9154490.666666666,13717192.333333334,14597515.333333334,19809022.333333332,16403464.333333334,7484755.333333333,133334.0,62420.0,70914.0,171.0,98.0,73.0,55178.0,31558.0,46599.0,27.0,83.0,61.0
20241,골목상권,상도4동주민센터,기타서비스업,239209161.66666666,43721115.666666664,34172723.666666664,64835266.333333336,27179189.333333332,47929792.0,15307989.666666666,6063085.0,580987.0,270083.0,310906.0,139.0,81.0,58.0,188901.0,188647.0,203439.0,15.0,72.0,52.0
20242,골목상권,상도4동주민센터,기타서비스업,208507841.0,41791669.666666664,36528344.0,36926446.333333336,25647815.0,39256746.333333336,16835154.0,11521665.666666666,622949.0,280747.0,342202.0,139.0,81.0,58.0,204223.0,205544.0,213181.0,15.0,72.0,52.0
20243,골목상권,상도4동주민센터,기타서비스업,220181761.33333334,58788074.333333336,48303435.666666664,43627448.0,23428477.0,26926343.333333332,14766066.333333334,4341916.666666667,700281.0,315767.0,384514.0,139.0,81.0,58.0,228394.0,226576.0,245312.0,15.0,72.0,52.0
